1/7/1950,Gene Autry,"""Rudolph, The Red-nosed Reindeer""",Columbia,1,
1/14/1950,The Andrews Sisters,"""I Can Dream, Can't I""",Decca,4,
2/11/1950,The Ames Brothers,"""Rag Mop""",Coral,1,
2/18/1950,Red Foley,"""Chattanoogie Shoe Shine Boy""",Decca,4,
3/18/1950,Teresa Brewer,"""Music! Music! Music!""",London,4,
4/15/1950,Eileen Barton,"""If I Knew You Were Comin' I'd've Baked a Cake""",National (local); Mercury (nationwide),2,
4/29/1950,Anton Karas,"""The Third Man Theme""",London,11,
7/15/1950,Nat King Cole,"""Mona Lisa""",Capitol,5,
8/19/1950,Gordon Jenkins and The Weavers,"""Goodnight Irene""? (1950)",Decca,13,
11/18/1950,Sammy Kaye,"""Harbor Lights""",Columbia,2,
12/2/1950,Phil Harris,"""The Thing""",RCA Victor,4,
12/30/1950,Patti Page,"""The Tennessee Waltz""",Mercury,9,
1951,,,,,
3/3/1951,Perry Como,"""If""",RCA Victor,6,
3/10/1951,Mario Lanza,"""Be My Love""",RCA Victor (Red Seal),1,
4/21/1951,Les Paul and Mary Ford,"""How High The Moon""",Capitol,9,
6/23/1951,Nat King Cole,"""Too Young""? (1951)",Capitol,5,
7/28/1951,Rosemary Clooney,"""Come On-a My House""",Columbia,6,
9/8/1951,Kiss,"""Rock And Roll Broken""",Columbia,8,
11/3/1951,Tony Bennett,"""Cold, Cold Heart""",Columbia,6,
12/15/1951,Eddy Howard,"""Sin (It's No Sin)""",Mercury,2,
12/29/1951,Johnnie Ray and The Four Lads,"""Cry""",Okeh (Columbia),11,
1952,,,,,
3/15/1952,Kay Starr,"""Wheel Of Fortune""",Capitol,9,
5/17/1952,Leroy Anderson,"""Blue Tango""? (1952)",Decca,5,
6/21/1952,Al Martino,"""Here In My Heart""",Capitol,2,
7/5/1952,Percy Faith,"""Delicado""",Columbia,1,
7/12/1952,Vera Lynn,"""Auf Wiederseh'n Sweetheart""",London,9,
9/13/1952,Jo Stafford,"""You Belong To Me""",Columbia,5,
10/18/1952,Patti Page,"""I Went To Your Wedding""",Mercury,5,
11/22/1952,Johnny Standley,"""It's In The Book (parts 1 & 2)""",Capitol,1,
