8/4/1958,Ricky Nelson,"""Poor Little Fool""",Imperial,2,[1]
8/18/1958,Domenico Modugno,"""Volare (Nel blu dipinto di blu)""? (1958)",Decca,5,[1]
8/25/1958,The Elegants,"""Little Star""",Apt,1,[1]
9/29/1958,Tommy Edwards,"""It's All in the Game""",MGM,6,[1]
11/10/1958,Conway Twitty,"""It's Only Make Believe""",MGM,2,[1]
11/17/1958,The Kingston Trio,"""Tom Dooley""",Capitol,1,[1]
12/1/1958,The Teddy Bears,"""To Know Him Is to Love Him""",Dore,3,[1]
12/22/1958,The Chipmunks with David Seville,"""The Chipmunk Song""",Liberty,4,[1]
,,,,,
1/19/1959,The Platters,"""Smoke Gets in Your Eyes""",Mercury,3,[1]
2/9/1959,Lloyd Price,"""Stagger Lee""",ABC-Paramount,4,[1]
3/9/1959,Frankie Avalon,"""Venus""",Chancellor,5,[1]
4/13/1959,The Fleetwoods,"""Come Softly to Me""","Dolphin (local), Liberty (nationwide)",4,[1]
5/11/1959,"Dave ""Baby"" Cortez","""The Happy Organ""",Clock,1,[1]
5/18/1959,Wilbert Harrison,"""Kansas City""",Fury,2,[1]
6/1/1959,Johnny Horton,"""The Battle of New Orleans""? (1959)",Columbia,6,[1]
7/13/1959,Paul Anka,"""Lonely Boy""",ABC-Paramount,4,[1]
8/10/1959,Elvis Presley,"""A Big Hunk o' Love""",RCA Victor,2,[1]
8/24/1959,The Browns,"""The Three Bells""",RCA Victor,4,[1]
9/21/1959,Santo & Johnny,"""Sleep Walk""",Canadian-American,2,[1]
10/5/1959,Bobby Darin,"""Mack the Knife""",Atco,9,[1]
11/16/1959,The Fleetwoods,"""Mr. Blue""",Dolton,1,[1]
12/14/1959,Guy Mitchell,"""Heartaches by the Number""",Columbia,2,[1]
12/28/1959,Frankie Avalon,"""Why""",Chancellor,1,[1]
,,,,,
1/4/1960,Marty Robbins,"""El Paso""",Columbia,2,[1]
1/18/1960,Johnny Preston,"""Running Bear""",Mercury,3,[1]
2/8/1960,Mark Dinning,"""Teen Angel""",MGM,1,[1]
2/22/1960,Percy Faith,"""Theme from 'A Summer Place'""? (1960)",Columbia,9,[1]
4/25/1960,Elvis Presley,"""Stuck on You""",RCA Victor,4,[1]
5/23/1960,The Everly Brothers,"""Cathy's Clown""",Warner Bros.,5,[1]
6/27/1960,Connie Francis,"""Everybody's Somebody's Fool""",MGM,2,[1]
7/11/1960,Hollywood Argyles,"""Alley-Oop""",Lute,1,[1]
7/18/1960,Brenda Lee,"""I'm Sorry""",Decca,3,[1]
8/8/1960,Brian Hyland,"""Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini""",Kapp,1,[1]
8/15/1960,Elvis Presley,"""It's Now or Never""",RCA Victor,5,[1]
9/19/1960,Chubby Checker,"""The Twist""",Parkway,1,[1]
9/26/1960,Connie Francis,"""My Heart Has a Mind of Its Own""",MGM,2,[1]
10/10/1960,Larry Verne,"""Mr. Custer""",Era,1,[1]
10/17/1960,The Drifters,"""Save the Last Dance for Me""",Atlantic,3,[1]
10/24/1960,Brenda Lee,"""I Want to Be Wanted""",Decca,1,[1]
11/14/1960,Ray Charles,"""Georgia on My Mind""",ABC-Paramount,1,[1]
11/21/1960,Maurice Williams and the Zodiacs,"""Stay""",Herald,1,[1]
11/28/1960,Elvis Presley,"""Are You Lonesome Tonight?""",RCA Victor,6,[1]
,,,,,
1/9/1961,Bert Kaempfert,"""Wonderland by Night""",Decca,3,[1]
1/30/1961,The Shirelles,"""Will You Love Me Tomorrow""",Scepter,2,[1]
2/13/1961,Lawrence Welk,"""Calcutta""",Dot,2,[1]
2/27/1961,Chubby Checker,"""Pony Time""",Parkway,3,[1]
3/20/1961,Elvis Presley,"""Surrender""",RCA Victor,2,[1]
4/3/1961,The Marcels,"""Blue Moon""",Colpix,3,[1]
4/24/1961,Del Shannon,"""Runaway""",Bigtop,4,[1]
5/22/1961,Ernie K-Doe,"""Mother-in-Law""",Minit,1,[1]
5/29/1961,Ricky Nelson,"""Travelin' Man""",Imperial,2,[1]
6/5/1961,Roy Orbison,"""Running Scared""",Monument,1,[1]
6/19/1961,Pat Boone,"""Moody River""",Dot,1,[1]
6/26/1961,Gary U.S. Bonds,"""Quarter to Three""",Legrand,2,[1]
7/10/1961,Bobby Lewis,"""Tossin' and Turnin'""? (1961)",Beltone,7,[1]
8/28/1961,Joe Dowell,"""Wooden Heart (Muss I Denn)""",Smash,1,[1]
9/4/1961,The Highwaymen,"""Michael""",United Artists,2,[1]
9/18/1961,Bobby Vee,"""Take Good Care of My Baby""",Liberty,3,[1]
10/9/1961,Ray Charles,"""Hit the Road Jack""",ABC-Paramount,2,[1]
10/23/1961,Dion,"""Runaround Sue""",Laurie,2,[1]
11/6/1961,Jimmy Dean,"""Big Bad John""",Columbia,5,[1]
12/11/1961,The Marvelettes,"""Please Mr. Postman""",Tamla,1,[1]
12/18/1961,The Tokens,"""The Lion Sleeps Tonight""",RCA Victor,3,[1]
,,,,,
1/13/1962,Chubby Checker,"""The Twist""",Parkway,2,[1]
1/27/1962,Joey Dee and the Starliters,"""Peppermint Twist""",Roulette,3,[1]
2/17/1962,Gene Chandler,"""Duke of Earl""",Vee-Jay,3,[1]
3/10/1962,Bruce Channel,"""Hey! Baby""",Smash,3,[1]
3/31/1962,Connie Francis,"""Don't Break the Heart That Loves You""",MGM,1,[1]
4/7/1962,Shelley Fabares,"""Johnny Angel""",Colpix,2,[1]
4/21/1962,Elvis Presley,"""Good Luck Charm""",RCA Victor,2,[1]
5/5/1962,The Shirelles,"""Soldier Boy""",Scepter,3,[1]
5/26/1962,Mr. Acker Bilk,"""Stranger on the Shore""? (1962)",Atco,1,[1]
6/2/1962,Ray Charles,"""I Can't Stop Loving You""",ABC-Paramount,5,[1]
7/7/1962,David Rose,"""The Stripper""",MGM,1,[1]
7/14/1962,Bobby Vinton,"""Roses Are Red (My Love)""",Epic,4,[1]
8/11/1962,Neil Sedaka,"""Breaking Up Is Hard to Do""",RCA Victor,2,[1]
8/25/1962,Little Eva,"""The Loco-Motion""",Dimension,1,[1]
9/1/1962,Tommy Roe,"""Sheila""",ABC-Paramount,2,[1]
9/15/1962,The Four Seasons,"""Sherry""",Vee-Jay,5,[1]
10/20/1962,"Bobby ""Boris"" Pickett and the Crypt-Kickers","""Monster Mash""",Garpax,2,[1]
11/3/1962,The Crystals,"""He's a Rebel""",Philles,2,[1]
11/17/1962,The Four Seasons,"""Big Girls Don't Cry""",Vee-Jay,5,[1]
12/22/1962,The Tornados,"""Telstar""",London,3,[1]
,,,,,
1/12/1963,Steve Lawrence,"""Go Away Little Girl""",Columbia,2,[1]
1/26/1963,The Rooftop Singers,"""Walk Right In""",Vanguard,2,[1]
2/9/1963,Paul & Paula,"""Hey Paula""",Philips,3,[1]
3/2/1963,The Four Seasons,"""Walk Like A Man""",Vee-Jay,3,[1]
3/23/1963,Ruby & the Romantics,"""Our Day Will Come""",Kapp,1,[1]
3/30/1963,The Chiffons,"""He's So Fine""",Laurie,4,[1]
4/27/1963,Little Peggy March,"""I Will Follow Him""",RCA Victor,3,[1]
5/18/1963,Jimmy Soul,"""If You Wanna Be Happy""",S.P.Q.R.,2,[1]
6/1/1963,Lesley Gore,"""It's My Party""",Mercury,2,[1]
6/15/1963,Kyu Sakamoto,"""Sukiyaki""",Capitol,3,[1]
7/6/1963,The Essex,"""Easier Said Than Done""",Roulette,2,[1]
7/20/1963,Jan and Dean,"""Surf City""",Liberty,2,[1]
8/3/1963,The Tymes,"""So Much in Love""",Parkway,1,[1]
8/10/1963,Little Stevie Wonder,"""Fingertips""",Tamla,3,[1]
8/31/1963,The Angels,"""My Boyfriend's Back""",Smash,3,[1]
9/21/1963,Bobby Vinton,"""Blue Velvet""",Epic,3,[1]
10/12/1963,Jimmy Gilmer and the Fireballs,"""Sugar Shack""? (1963)",Dot,5,[1]
11/16/1963,Nino Tempo and April Stevens,"""Deep Purple""",Atco,1,[1]
11/23/1963,Dale & Grace,"""I'm Leaving It Up to You""",Montel,2,[1]
12/7/1963,The Singing Nun,"""Dominique""",Philips,4,[1]
,,,,,
1/4/1964,Bobby Vinton,"""There! I've Said It Again""",Epic,4,[1]
2/1/1964,The Beatles,"""I Want to Hold Your Hand""? (1964)",Capitol,7,[1]
